label,dataset,status_C0,wall_time_C0,node_count_C0,status_C1,wall_time_C1,node_count_C1,status_C2,wall_time_C2,node_count_C2,status_C3,wall_time_C3,node_count_C3,status_C4,wall_time_C4,node_count_C4
pel_35,PELLETIER,TIMEOUT,30.011070200000177,141247.0,PROVED,0.12248269999872718,408.0,PROVED,0.10813079999934416,408.0,PROVED,0.2484282000004896,408.0,PROVED,0.25275300000066636,408.0
pel_36,PELLETIER,NODE_LIMIT,10.376130500000727,200000.0,NODE_LIMIT,20.570337799999834,200000.0,NODE_LIMIT,12.81110329999865,200000.0,NODE_LIMIT,19.36424899999838,200000.0,TIMEOUT,30.00231960000019,169454.0
pel_37,PELLETIER,NODE_LIMIT,13.509176800000205,200000.0,NODE_LIMIT,11.389758999999685,200000.0,NODE_LIMIT,18.37933560000056,200000.0,NODE_LIMIT,18.508040899998377,200000.0,NODE_LIMIT,18.73991599999863,200000.0
pel_38,PELLETIER,NODE_LIMIT,12.466222799999741,200000.0,NODE_LIMIT,8.985869000000093,200000.0,NODE_LIMIT,9.345229200000176,200000.0,NODE_LIMIT,28.820909500000198,200000.0,NODE_LIMIT,24.657103900000948,200000.0
pel_44,PELLETIER,NODE_LIMIT,6.146407599999293,200000.0,NODE_LIMIT,10.6384939999989,200000.0,NODE_LIMIT,11.155280400000265,200000.0,NODE_LIMIT,29.281304699999964,200000.0,TIMEOUT,30.00727459999871,159090.0
pel_46,PELLETIER,NODE_LIMIT,13.699752700000317,200000.0,NODE_LIMIT,15.864567800001169,200000.0,NODE_LIMIT,13.347966899998937,200000.0,TIMEOUT,30.006934700000784,164416.0,TIMEOUT,30.002138299998478,106905.0
pel_6,PELLETIER,PROVED,8.170000000973232e-05,3.0,PROVED,0.00010520000068936497,3.0,PROVED,0.00010449999899719842,3.0,PROVED,8.969999908003956e-05,3.0,PROVED,0.00010349999865866266,3.0
pel_7,PELLETIER,PROVED,0.00011319999975967221,5.0,PROVED,0.00013209999997343402,5.0,PROVED,0.00015460000031453092,5.0,PROVED,0.00012600000081874896,5.0,PROVED,0.00013840000065101776,5.0
pel_8,PELLETIER,PROVED,0.0001222000009875046,5.0,PROVED,0.00013169999874662608,5.0,PROVED,0.0001432999997632578,5.0,PROVED,0.00013030000081926119,5.0,PROVED,0.00014620000001741573,5.0
pel_9,PELLETIER,PROVED,0.000624700000116718,30.0,PROVED,0.0006792999993194826,30.0,PROVED,0.000727000000551925,26.0,PROVED,0.0007074000004649861,30.0,PROVED,0.0006790999996155733,26.0
syn_release_SYN321+1,PELLETIER,NODE_LIMIT,23.227058400001624,200000.0,TIMEOUT,30.006295399998635,197079.0,NODE_LIMIT,23.91419229999883,200000.0,TIMEOUT,30.010157900000195,115279.0,TIMEOUT,30.018565399999716,152547.0
syn_release_SYN353+1,PELLETIER,TIMEOUT,30.003585000000385,17872.0,TIMEOUT,30.01927329999853,28867.0,TIMEOUT,30.02260109999952,26006.0,TIMEOUT,30.01424330000009,23527.0,TIMEOUT,30.03586610000093,24858.0
syn_release_SYN386+1,PELLETIER,NODE_LIMIT,29.307441499999186,200000.0,NODE_LIMIT,18.322510399999373,200000.0,NODE_LIMIT,17.091444100000444,200000.0,TIMEOUT,30.001260299999558,191649.0,TIMEOUT,30.007508799999414,165710.0
syn_release_SYN457+1,PELLETIER,FAIL_OPEN,0.5000588000002608,202.0,FAIL_OPEN,8.56734300000062,2496.0,FAIL_OPEN,10.740356199999951,2463.0,FAIL_OPEN,7.665324900000996,2496.0,FAIL_OPEN,9.006700300000375,2463.0
syn_release_SYN548+1,PELLETIER,NODE_LIMIT,20.301504000000932,200000.0,TIMEOUT,30.00236059999952,144823.0,NODE_LIMIT,24.310985699999947,200000.0,TIMEOUT,30.283544500000062,43897.0,TIMEOUT,30.16821180000079,55797.0
syn_release_SYN549+1,PELLETIER,NODE_LIMIT,23.001128900001277,200000.0,NODE_LIMIT,25.381443300000683,200000.0,TIMEOUT,30.003342499998325,152407.0,TIMEOUT,30.149614399999336,26707.0,TIMEOUT,30.262779699998646,49847.0
syn_release_SYN550+1,PELLETIER,NODE_LIMIT,17.062766400000328,200000.0,NODE_LIMIT,20.311622400000488,200000.0,NODE_LIMIT,23.350573499999882,200000.0,TIMEOUT,30.036455800000113,71751.0,TIMEOUT,30.017286800000875,124500.0
syn_release_SYN723+1,PELLETIER,NODE_LIMIT,7.214623099998789,200000.0,NODE_LIMIT,8.452289599999858,200000.0,NODE_LIMIT,11.478751599999669,200000.0,NODE_LIMIT,26.757284399998753,200000.0,NODE_LIMIT,28.93924590000097,200000.0
syn_release_SYN917+1,PELLETIER,NODE_LIMIT,7.709881100001439,200000.0,NODE_LIMIT,9.372274499999548,200000.0,NODE_LIMIT,10.363138799999433,200000.0,TIMEOUT,30.015789200000654,148653.0,TIMEOUT,30.003479099999822,128007.0
syn_release_SYN938+1,PELLETIER,NODE_LIMIT,19.682683400000315,200000.0,NODE_LIMIT,28.181229600000734,200000.0,NODE_LIMIT,17.56479330000002,200000.0,TIMEOUT,30.075752999999168,32448.0,TIMEOUT,30.020797400000447,30910.0
tptp_SYN317,PELLETIER,NODE_LIMIT,6.776466500001334,200000.0,PROVED,0.000968000000284519,22.0,PROVED,0.0011623999998846557,22.0,PROVED,0.0009349000010843156,22.0,PROVED,0.0009661000003688969,22.0
tptp_SYN343,PELLETIER,NODE_LIMIT,22.990843999999925,200000.0,PROVED,0.0010922000001301058,14.0,PROVED,0.0009984000007534632,11.0,PROVED,0.0010597000000416301,14.0,PROVED,0.0010013000010076212,11.0
tptp_SYN347,PELLETIER,TIMEOUT,30.012360900000203,42887.0,PROVED,0.007898699999714154,83.0,PROVED,0.00775439999961236,77.0,PROVED,0.008974700000180746,83.0,PROVED,0.008951199999501114,77.0
tptp_SYN351,PELLETIER,TIMEOUT,30.003588199999285,41107.0,PROVED,2.083319200000915,6572.0,PROVED,1.9142001000000164,6569.0,PROVED,12.93992839999919,6545.0,PROVED,10.481220499999836,6758.0
tptp_SYN373,PELLETIER,PROVED,0.0738128000011784,411.0,PROVED,0.0719704000002821,411.0,PROVED,0.07276290000118024,411.0,PROVED,0.10110080000049493,411.0,PROVED,0.1076496000005136,411.0
tptp_SYN377,PELLETIER,TIMEOUT,30.06550419999985,85264.0,PROVED,0.5892970000004425,2052.0,PROVED,0.3154802999997628,2029.0,PROVED,0.509676199999376,2467.0,PROVED,0.876220000000103,2027.0
tptp_SYN378,PELLETIER,PROVED,0.11752420000084385,793.0,PROVED,0.12848920000033104,793.0,PROVED,0.12325149999924179,793.0,PROVED,0.2665469999992638,793.0,PROVED,0.2800074000006134,793.0
tptp_SYN394,PELLETIER,TIMEOUT,30.050111599999582,67854.0,PROVED,0.27068229999895266,797.0,PROVED,0.2729337000000669,797.0,PROVED,0.2810874999995576,797.0,PROVED,0.2708407999998599,797.0
tptp_SYN404,PELLETIER,PROVED,0.07883659999970405,403.0,PROVED,0.08136640000157058,403.0,PROVED,0.1374729999988631,403.0,PROVED,0.1549933999995119,403.0,PROVED,0.2791082000003371,403.0
tptp_SYN405,PELLETIER,PROVED,0.25098330000037095,797.0,PROVED,0.12314559999867924,797.0,PROVED,0.1255012000001443,797.0,PROVED,0.2919652999989921,797.0,PROVED,0.2729079000000638,797.0
tptp_SYN965,PELLETIER,PROVED,0.001075700000001234,16.0,PROVED,0.0012248000002728077,16.0,PROVED,0.0012777000010828488,16.0,PROVED,0.001402300000336254,16.0,PROVED,0.0013881000013498124,16.0
php_2,PHP,PROVED,0.00683989999924961,343.0,PROVED,0.006264999999984866,343.0,PROVED,0.003184899998814217,155.0,PROVED,0.006492399999842746,343.0,PROVED,0.0034165000015491387,155.0
php_3,PHP,NODE_LIMIT,23.66093759999967,200000.0,NODE_LIMIT,5.524088399999528,200000.0,PROVED,0.4376438000017515,7636.0,NODE_LIMIT,5.691900699999678,200000.0,PROVED,0.4263465999993059,7636.0
php_4,PHP,TIMEOUT,30.181147299999793,191795.0,NODE_LIMIT,13.091910899998766,200000.0,NODE_LIMIT,9.61234180000065,200000.0,NODE_LIMIT,13.320761800001492,200000.0,NODE_LIMIT,15.550082800000382,200000.0
php_5,PHP,NODE_LIMIT,10.131022399998983,200000.0,NODE_LIMIT,9.914282399999138,200000.0,NODE_LIMIT,12.987837700000455,200000.0,NODE_LIMIT,10.220215400000598,200000.0,NODE_LIMIT,14.889348400000017,200000.0
php_6,PHP,FAIL_OPEN,0.16553039999962493,202.0,FAIL_OPEN,1.619479400000273,2424.0,FAIL_OPEN,1.8430790000002162,2424.0,FAIL_OPEN,2.5781477999989875,2424.0,FAIL_OPEN,2.008732800000871,2424.0
